frame_index,timestamp_s,velocity_px_per_analysis_frame
971,485.5,83.80484
972,486.0,93.17359
973,486.5,69.65931
974,487.0,58.61609
975,487.5,51.5243
976,488.0,19.28756
977,488.5,46.7618
978,489.0,44.06776
979,489.5,54.61843
980,490.0,34.88944
981,490.5,35.89763
982,491.0,62.7239
983,491.5,49.59671
984,492.0,47.70275
985,492.5,49.8435
986,493.0,41.86617
987,493.5,41.73023
988,494.0,61.32342
989,494.5,45.79142
990,495.0,58.48719
991,495.5,29.23073
992,496.0,41.23991
993,496.5,28.10583
994,497.0,38.87764
995,497.5,35.54506
996,498.0,47.93724
997,498.5,42.60469
998,499.0,46.78009
999,499.5,40.28713
1000,500.0,47.54793
1001,500.5,53.00781
1002,501.0,46.86153
1003,501.5,53.49188
1004,502.0,32.14241
1005,502.5,61.46239
1006,503.0,44.94312
1007,503.5,51.70581
1008,504.0,81.57299
1009,504.5,54.71229
1010,505.0,85.18623
1011,505.5,66.66255
1012,506.0,85.65311
1013,506.5,76.88973
1014,507.0,65.51599
1015,507.5,55.1909
1016,508.0,80.63351
1017,508.5,69.40005
1018,509.0,79.14116
1019,509.5,50.92808
1020,510.0,66.94122
1021,510.5,83.21066
1022,511.0,82.09712
1023,511.5,74.9043
1024,512.0,58.74424
1025,512.5,52.47445
1026,513.0,25.13184
1027,513.5,71.70126
1028,514.0,77.00475
1029,514.5,72.94641
1030,515.0,60.27739
1031,515.5,62.79087
1032,516.0,67.82121
1033,516.5,37.4925
1034,517.0,58.17002
1035,517.5,17.56676
1036,518.0,72.18433
1037,518.5,66.75415
1038,519.0,70.32756
1039,519.5,46.79384
1040,520.0,35.02298
1041,520.5,62.34573
1042,521.0,85.0477
1043,521.5,84.73788
1044,522.0,92.37702
1045,522.5,77.85367
1046,523.0,22.76093
1047,523.5,67.10077
1048,524.0,61.15837
1049,524.5,65.14143
1050,525.0,100.74184
1051,525.5,98.73738
1052,526.0,77.57009
1053,526.5,77.40029
1054,527.0,67.99938
1055,527.5,64.16547
1056,528.0,64.58559
1057,528.5,65.99239
1058,529.0,66.16364
1059,529.5,71.38467
1060,530.0,67.83591
1061,530.5,66.62217
1062,531.0,78.41133
1063,531.5,76.59713
1064,532.0,69.62959
1065,532.5,66.7584
1066,533.0,63.44621
1067,533.5,70.16972
1068,534.0,65.54288
1069,534.5,60.86271
1070,535.0,59.0218
1071,535.5,65.26831
1072,536.0,67.50861
1073,536.5,73.56231
1074,537.0,71.5323
1075,537.5,92.5179
1076,538.0,87.02426
1077,538.5,75.48783
1078,539.0,26.01244
1079,539.5,27.82587
1080,540.0,64.81213
1081,540.5,65.51545
1082,541.0,81.94377
1083,541.5,96.26184
1084,542.0,92.99313
1085,542.5,60.48139
1086,543.0,34.92682
1087,543.5,67.99031
1088,544.0,66.4321
1089,544.5,47.2122
1090,545.0,30.97154
1091,545.5,40.54995
1092,546.0,71.85616
1093,546.5,73.6031
1094,547.0,46.00075
1095,547.5,66.19908
1096,548.0,68.76083
1097,548.5,42.43534
1098,549.0,20.73648
1099,549.5,41.22642
1100,550.0,58.55598
1101,550.5,64.30274
1102,551.0,32.25468
1103,551.5,82.00575
1104,552.0,103.85612
1105,552.5,78.14747
1106,553.0,98.51432
1107,553.5,79.8395
1108,554.0,74.09053
1109,554.5,45.55286
1110,555.0,74.08242
1111,555.5,52.34165
1112,556.0,75.51825
1113,556.5,64.59779
1114,557.0,70.24388
1115,557.5,45.29903
1116,558.0,62.13379
1117,558.5,63.91238
1118,559.0,62.5537
1119,559.5,61.2486
1120,560.0,72.51148
1121,560.5,65.38876
1122,561.0,75.03745
1123,561.5,66.82861
1124,562.0,86.5155
1125,562.5,103.1564
1126,563.0,73.90244
1127,563.5,65.47481
1128,564.0,60.69202
1129,564.5,63.2048
1130,565.0,92.7277
1131,565.5,79.48585
1132,566.0,64.08083
1133,566.5,81.09513
1134,567.0,71.95876
1135,567.5,67.22495
1136,568.0,68.11299
1137,568.5,35.93073
1138,569.0,73.69759
1139,569.5,75.38129
1140,570.0,65.10599
1141,570.5,40.23698
1142,571.0,67.42459
1143,571.5,77.26347
1144,572.0,53.86892
1145,572.5,67.43695
1146,573.0,68.77308
1147,573.5,69.02615
1148,574.0,25.74748
1149,574.5,72.92571
1150,575.0,62.43948
1151,575.5,51.81301
1152,576.0,62.59087
1153,576.5,61.96926
1154,577.0,71.62595
1155,577.5,63.27499
1156,578.0,47.08725
1157,578.5,84.60351
1158,579.0,64.3077
1159,579.5,66.09435
1160,580.0,19.98216
1161,580.5,81.5695
1162,581.0,78.92445
1163,581.5,29.75375
1164,582.0,69.82087
1165,582.5,39.97296
1166,583.0,47.98367
1167,583.5,58.55248
1168,584.0,71.22716
1169,584.5,87.6825
1170,585.0,76.31612
1171,585.5,55.23645
1172,586.0,46.85831
1173,586.5,66.5593
1174,587.0,65.80231
1175,587.5,63.15655
1176,588.0,46.50675
1177,588.5,65.13227
1178,589.0,66.86411
1179,589.5,66.97835
1180,590.0,61.55808
1181,590.5,62.94527
1182,591.0,82.1999
1183,591.5,64.64267
1184,592.0,61.44014
1185,592.5,40.21477
1186,593.0,62.18117
1187,593.5,68.20359
1188,594.0,82.25349
1189,594.5,68.82281
1190,595.0,86.99085
1191,595.5,74.84155
1192,596.0,67.84654
1193,596.5,70.4836
1194,597.0,83.63795
1195,597.5,62.56445
1196,598.0,90.31161
1197,598.5,78.26203
1198,599.0,67.75042
1199,599.5,78.0362
